t,data,preco_real,preco_previsto,retorno_pred,acao,energia,pontuacao,erro
10115,2024-12-13 12:00:00+00:00,100299.8515625,100425.95636179537,0.001257278025150299,-1,0.0,66.0,0.009860989637672901
10116,2024-12-13 13:00:00+00:00,100284.3515625,100269.19732580788,-0.00015111267566680908,1,0.0,66.0,0.011494176462292671
10117,2024-12-13 14:00:00+00:00,101018.1171875,101133.41767481284,0.001141384243965149,0,0.0,66.0,0.0047297365963459015
10118,2024-12-13 15:00:00+00:00,99873.15625,99775.76450820663,-0.0009751543402671814,1,0.0,66.0,0.012912057340145111
10119,2024-12-13 16:00:00+00:00,100988.0078125,101081.11443289177,0.0009219571948051453,1,0.0,66.0,0.0038522211834788322
10120,2024-12-13 17:00:00+00:00,101737.890625,101909.53130974958,0.0016870871186256409,1,0.0,66.0,0.007268321234732866
10121,2024-12-13 18:00:00+00:00,101495.90625,101685.73826558632,0.0018703415989875793,-1,0.009786634173989296,67.0,0.000353341456502676
10122,2024-12-13 19:00:00+00:00,101462.34375,101514.97927122284,0.0005187690258026123,0,0.01948484543953091,68.0,0.0003754471836145967
10123,2024-12-13 20:00:00+00:00,101680.0,101767.53628015518,0.0008608996868133545,-1,0.027778091757930817,69.0,0.0007266884204000235
10124,2024-12-13 21:00:00+00:00,101303.640625,101491.63368714892,0.0018557384610176086,-1,0.0,69.0,0.011308098211884499
10125,2024-12-13 22:00:00+00:00,101227.28125,101354.79795611906,0.0012597069144248962,-1,0.0,69.0,0.01095564290881157
10126,2024-12-13 23:00:00+00:00,101424.25,101468.27304092236,0.00043404847383499146,0,0.0,69.0,0.006544292904436588
10127,2024-12-14 00:00:00+00:00,101301.0703125,101385.34212349163,0.00083189457654953,-1,0.0,69.0,0.006758520845323801
10128,2024-12-14 01:00:00+00:00,102145.28125,102313.02244019741,0.001642182469367981,0,0.0,69.0,0.00413611251860857
10129,2024-12-14 02:00:00+00:00,102032.609375,102167.88203145575,0.0013257786631584167,-1,0.004161648851633072,70.0,0.001759587787091732
10130,2024-12-14 03:00:00+00:00,102088.0,102218.14272582531,0.0012748092412948608,-1,0.013705666044354439,71.0,0.0004139957018196583
10131,2024-12-14 04:00:00+00:00,101681.8125,101861.20795092266,0.0017642825841903687,-1,0.0,71.0,0.0041921380907297134
